EMPLOYEE_ID,AGE,GENDER,SALARY
640543,32,Male,90000
136141,28,Female,65000
554038,29,Male,75000
912686,41,Female,80000
606228,31,Male,160000
197726,28,Female,125000
16130,27,Female,110000
527468,30,Male,180000
522379,29,Female,140000
644429,25,Female,100000
586709,33,Male,190000
472670,31,Female,155000
500732,30,Female,145000
107964,27,Male,115000
393029,29,Female,140000
88184,25,Female,100000
352134,33,Male,190000
319911,31,Female,155000
919275,30,Female,145000
397773,28,Male,125000
214143,27,Male,110000
361624,30,Female,180000
108661,29,Male,140000
755716,25,Female,100000
801770,33,Male,190000
777449,31,Female,155000
832574,30,Female,145000
122453,27,Male,115000
198255,29,Female,140000
27638,25,Female,100000
224077,33,Male,190000
75943,31,Female,155000
807183,30,Female,145000
152706,28,Male,125000
134868,27,Male,110000
107814,30,Female,180000
311135,29,Male,140000
156142,25,Female,100000
431561,33,Male,190000
713624,31,Female,155000
941938,30,Female,145000
495062,27,Male,115000
303553,29,Female,140000
181961,25,Female,100000
85184,33,Male,190000
582660,31,Female,155000
589990,30,Female,145000
980198,28,Male,125000
136706,27,Male,110000
907377,30,Female,180000
752134,29,Male,140000
336013,25,Female,100000
457087,33,Male,190000
231377,31,Female,155000
595376,30,Female,145000
13204,27,Male,115000
340471,29,Female,140000
295294,25,Female,100000
350153,33,Male,190000
963950,31,Female,155000
415640,30,Female,145000
441627,27,Male,115000
550700,29,Female,140000
718182,25,Female,100000
351635,33,Male,190000
963554,31,Female,155000
635101,30,Female,145000
395769,28,Male,125000
629948,27,Male,110000
242299,30,Female,180000
915492,29,Male,140000
405462,25,Female,100000
591417,33,Male,190000
882819,31,Female,155000
303505,30,Female,145000
42324,27,Male,115000
65585,29,Female,140000
128006,25,Female,100000
73500,33,Male,190000
29824,31,Female,155000
979650,30,Female,145000
771846,27,Male,115000
731507,29,Female,140000
54557,25,Female,100000
119917,33,Male,190000
505688,31,Female,155000
417459,30,Female,145000
768583,27,Male,115000
42410,29,Female,140000
344510,25,Female,100000
656069,33,Male,190000
64704,31,Female,155000
882608,30,Female,145000
628507,27,Male,115000
774123,29,Female,140000
915638,25,Female,100000
129805,33,Male,190000
411042,31,Female,155000
482112,30,Female,145000
135183,27,Male,115000
220227,29,Female,140000
269696,26,Male,130000
120449,29,Female,180000
779304,32,Male,190000
386472,24,Male,90000
691047,31,Female,195000
834711,28,Male,160000
949303,25,Male,110000
981781,30,Female,185000
68585,27,Male,140000
248481,23,Male,95000
287794,32,Female,193000
33161,29,Male,175000
530296,26,Male,130000
43042,31,Female,180000
155418,28,Male,160000
6599,24,Male,90000
832599,30,Female,185000
93297,27,Male,140000
749964,25,Male,110000
677033,29,Female,180000
979861,32,Male,190000
465465,31,Male,195000
933458,28,Female,160000
17443,26,Female,130000
985583,30,Male,185000
237355,27,Female,140000
490694,25,Female,110000
285823,32,Male,190000
352093,29,Female,180000
733758,30,Male,160000
20799,24,Male,90000
18307,31,Female,195000
514317,28,Male,160000
53982,26,Male,130000
988551,29,Female,180000
579310,32,Male,190000
371928,25,Male,110000
878394,30,Female,185000
573402,27,Male,140000
351995,31,Male,195000
86922,28,Female,160000
562547,26,Male,130000
329609,29,Female,180000
913271,32,Male,190000
643739,24,Male,90000
179033,27,Male,140000
980794,25,Female,110000
612608,30,Female,185000
262200,31,Male,195000
158364,28,Female,160000
26481,26,Male,130000
83734,29,Female,180000
530407,32,Male,190000
263483,24,Male,90000
738286,27,Male,140000
365272,25,Female,110000
449054,30,Female,185000
84118,31,Male,195000
108540,28,Female,160000
257525,26,Male,130000
18721,29,Female,180000
424435,32,Male,190000
190400,24,Male,90000
846447,27,Male,140000
545281,25,Female,110000
999760,30,Female,185000
966491,31,Male,195000
366078,28,Female,160000
562151,26,Male,130000
497775,29,Female,180000
76463,32,Male,190000
982724,24,Male,90000
519748,27,Male,140000
368694,25,Male,125000
400943,28,Female,175000
584718,30,Male,190000
899483,24,Male,95000
478579,31,Male,195000
351368,28,Male,160000
760170,26,Male,130000
711973,30,Female,185000
977022,27,Male,140000
233713,23,Male,90000
440235,32,Female,193000
859738,29,Male,170000
942397,26,Male,135000
359441,31,Female,180000
416810,28,Male,160000
977286,24,Male,90000
297918,30,Female,185000
643673,27,Male,140000
732049,25,Male,115000
598883,29,Female,180000
427497,32,Male,190000
269968,31,Male,195000
175382,28,Female,160000
127576,26,Female,130000
354192,30,Male,185000
304755,27,Female,140000
957439,25,Female,110000
591418,32,Male,190000
838124,29,Female,180000
67465,30,Male,160000
517292,24,Male,90000
34395,31,Female,195000
213857,28,Male,160000
908040,26,Male,130000
958088,29,Female,180000
160327,32,Male,190000
881658,25,Male,110000
801979,30,Female,185000
586567,27,Male,140000
943169,31,Male,195000
897627,28,Female,160000
847590,26,Male,130000
58203,29,Female,180000
126532,32,Male,190000
314241,24,Male,90000
435105,27,Male,140000
729906,25,Female,110000
74390,30,Female,185000
460327,31,Male,195000
176333,28,Female,160000
3420,26,Male,130000
68899,29,Female,180000
393657,32,Male,190000
484599,24,Male,90000
444996,27,Male,140000
74481,25,Female,110000
629524,30,Female,185000
691433,31,Male,195000
64502,28,Female,160000
580557,26,Male,130000
723237,29,Female,180000
933511,32,Male,190000
114715,24,Male,90000
241713,27,Male,140000
980416,23,Male,90000
132387,27,Female,150000
246367,32,Male,190000
478660,25,Male,110000
470761,31,Male,180000
288281,28,Male,160000
409892,26,Male,130000
520448,30,Female,170000
930568,27,Male,140000
476288,23,Male,92000
885836,32,Female,195000
827419,29,Male,170000
386500,26,Male,135000
141547,31,Female,180000
81421,28,Male,165000
862433,24,Male,95000
921208,30,Female,185000
676910,27,Male,140000
228466,25,Male,115000
581286,29,Female,180000
912261,32,Male,190000
77311,31,Male,195000
377248,28,Female,160000
11164,26,Female,130000
212434,30,Male,185000
265090,27,Female,140000
293403,25,Female,110000
284192,32,Male,190000
258357,29,Female,180000
128540,30,Male,160000
312982,24,Male,90000
214846,31,Female,195000
522813,28,Male,160000
815444,26,Male,130000
857962,29,Female,180000
462036,32,Male,190000
512843,25,Male,110000
277221,30,Female,185000
211950,27,Male,140000
530170,31,Male,195000
169606,28,Female,160000
813216,26,Male,130000
793485,29,Female,180000
115815,32,Male,190000
49882,24,Male,90000
789692,27,Male,140000
776144,25,Female,110000
642624,30,Female,185000
807844,31,Male,195000
366160,28,Female,160000
182970,26,Male,130000
927523,29,Female,180000
58513,32,Male,190000
902214,24,Male,90000
945117,27,Male,140000
706673,25,Female,110000
330872,30,Female,185000
435777,31,Male,195000
721800,28,Female,160000
652935,26,Male,130000
183231,29,Female,180000
613184,32,Male,190000
310343,24,Male,90000
226858,27,Male,140000
147668,25,Female,110000
67630,30,Female,185000
870709,31,Male,195000
374299,28,Female,160000
813123,26,Male,130000
628943,29,Female,180000
951544,32,Male,190000
774967,24,Male,90000
827048,27,Male,140000
976965,25,Female,110000
640321,30,Female,185000
174355,31,Male,195000
913389,28,Female,160000
339076,26,Male,130000
180281,29,Female,180000
592181,32,Male,190000
116666,24,Male,90000
249972,27,Male,140000
888504,25,Female,110000
688396,30,Female,185000
872398,31,Male,195000
600705,28,Female,160000
2070,26,Male,130000
526260,29,Female,180000
861620,32,Male,190000
556918,24,Male,90000
786200,27,Male,140000
984848,25,Female,110000
925750,30,Female,185000
723894,31,Male,195000
75626,28,Female,160000
915517,26,Male,130000
397305,29,Female,180000
783237,32,Male,190000
319731,24,Male,90000
42142,27,Male,140000
251616,25,Female,110000
471789,30,Female,185000
130242,31,Male,195000
115748,28,Female,160000
36799,26,Male,130000
927015,29,Female,180000
41679,32,Male,190000
567453,24,Male,90000
285442,27,Male,140000
271309,25,Female,110000
57455,30,Female,185000
153716,31,Male,195000
960954,28,Female,160000
620013,25,Male,135000
958153,32,Male,190000
304093,29,Female,180000
239080,30,Male,160000
275764,24,Male,95000
572834,27,Male,140000
381989,26,Male,130000
922691,30,Female,185000
527794,31,Male,195000
44141,28,Female,160000
107614,26,Female,130000
895079,30,Male,185000
533765,24,Male,90000
401719,25,Male,115000
351880,28,Male,165000
759154,26,Male,130000
324731,29,Female,180000
137898,32,Male,190000
196677,27,Male,140000
207528,31,Female,180000
185585,30,Male,160000
281133,24,Male,92000
885165,28,Female,160000
282181,26,Male,130000
703799,32,Male,190000
993989,25,Male,110000
